,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
188,original_LS-257_2_4,0.7206160426139832,0.006040944717824459,background,P3,LEVEL_I,42,8
189,original_LS-010_4_5,0.0,0.12638597190380096,confounder,P3,LEVEL_I,0,7
190,original_LS-235_2_5,0.0,0.22289688885211945,confounder,P3,LEVEL_I,0,2
191,original_LS-010_1_1,0.001096218591555953,0.00504131568595767,background,P3,LEVEL_I,1,1
192,original_LS-115_5_0,0.0,0.0844346135854721,confounder,P3,LEVEL_I,0,3
193,original_LS-310_0_4,0.030811414122581482,0.8315720558166504,confounder,P3,LEVEL_I,6,35
194,original_LS-567_5_7,0.0,0.045895740389823914,confounder,P3,LEVEL_I,0,2
195,original_LS-567_0_7,0.0,0.20220857858657837,confounder,P3,LEVEL_I,0,4
196,original_LS-010_3_5,0.0,0.38908618688583374,confounder,P3,LEVEL_I,3,9
197,original_LS-257_3_4,0.6636512279510498,0.006167464889585972,thyrocyte,P3,LEVEL_I,6,5
198,original_LS-567_2_7,0.0,0.4727088510990143,confounder,P3,LEVEL_I,0,24
199,original_LS-310_1_5,0.0,0.04174315556883812,confounder,P3,LEVEL_I,0,4
200,original_LS-010_3_1,0.0,0.938788890838623,confounder,P3,LEVEL_I,3,6
201,original_LS-235_1_3,0.0,0.27446120977401733,confounder,P3,LEVEL_I,0,5
202,original_LS-257_3_3,0.19016416370868683,0.003149063792079687,background,P3,LEVEL_I,18,13
203,original_LS-257_5_1,0.0,0.1467265635728836,confounder,P3,LEVEL_I,0,2
204,original_LS-567_1_1,0.5103093385696411,0.0,thyrocyte,P3,LEVEL_I,10,3
205,original_LS-257_4_3,0.0,0.04609094560146332,confounder,P3,LEVEL_I,0,1
206,original_LS-235_0_1,0.0,0.19864380359649658,confounder,P3,LEVEL_I,0,3
207,original_LS-235_4_2,0.0,0.30501946806907654,confounder,P3,LEVEL_I,0,7
208,original_LS-115_0_1,0.0,0.2566107213497162,confounder,P3,LEVEL_I,0,5
209,original_LS-257_3_2,0.0,4.134607661399059e-05,background,P3,LEVEL_I,9,20
210,original_LS-235_1_5,0.0,0.21499629318714142,confounder,P3,LEVEL_I,0,3
211,original_LS-567_5_6,0.0,0.06462240219116211,confounder,P3,LEVEL_I,0,3
