,File,Energy inside GT,Pointing game,Head,Level
217,original_LS-506_1_3,0.03086383081972599,Miss,P3,LEVEL_II
218,original_LS-021_4_3,0.06144571304321289,Hit,P3,LEVEL_II
219,original_LS-168_1_4,0.027798684313893318,Miss,P3,LEVEL_II
220,original_LS-021_2_3,0.38199588656425476,Hit,P3,LEVEL_II
221,original_LS-541_2_5,0.39897578954696655,Hit,P3,LEVEL_II
222,original_LS-506_2_4,0.15510910749435425,Hit,P3,LEVEL_II
223,original_LS-168_3_0,0.142653226852417,Miss,P3,LEVEL_II
224,original_LS-399_4_4,0.08836007118225098,Miss,P3,LEVEL_II
225,original_LS-608_0_5,0.24832481145858765,Hit,P3,LEVEL_II
226,original_LS-021_1_7,0.007006754167377949,Miss,P3,LEVEL_II
227,original_LS-276_5_5,0.005433437414467335,Miss,P3,LEVEL_II
228,original_LS-021_3_2,0.6107677221298218,Hit,P3,LEVEL_II
229,original_LS-399_1_3,0.11328833550214767,Miss,P3,LEVEL_II
230,original_LS-608_5_6,0.015766581520438194,Miss,P3,LEVEL_II
231,original_LS-399_2_3,0.498562753200531,Hit,P3,LEVEL_II
232,original_LS-580_1_3,0.19140928983688354,Hit,P3,LEVEL_II
233,original_LS-399_2_4,0.17379377782344818,Hit,P3,LEVEL_II
234,original_LS-541_4_2,0.13554975390434265,Miss,P3,LEVEL_II
235,original_LS-515_2_3,0.38952386379241943,Hit,P3,LEVEL_II
236,original_LS-541_1_6,0.3639194071292877,Miss,P3,LEVEL_II
237,original_LS-608_4_2,0.6180664896965027,Hit,P3,LEVEL_II
238,original_LS-276_4_5,0.004730150103569031,Miss,P3,LEVEL_II
239,original_LS-399_3_4,0.3194841146469116,Hit,P3,LEVEL_II
240,original_LS-515_1_3,0.061592407524585724,Miss,P3,LEVEL_II
241,original_LS-218_0_3,0.12468066811561584,Miss,P3,LEVEL_II
242,original_LS-541_4_1,0.19252772629261017,Miss,P3,LEVEL_II
243,original_LS-608_0_7,0.028475241735577583,Miss,P3,LEVEL_II
